epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,43.3529,1.49481,1.009,0.90708,0.73987,0.61947,0.66472,0.36401,1.55424,1.00728,0.91988,0.0015941,0.0015941,0.0015941
43,44.3658,1.45396,0.98903,0.92148,0.76954,0.64602,0.67203,0.33269,1.59073,1.00675,0.9206,0.0015842,0.0015842,0.0015842
44,45.3662,1.56444,1.01209,0.94783,0.67436,0.66372,0.70811,0.33455,1.59187,0.95304,0.90117,0.0015743,0.0015743,0.0015743
45,46.3147,1.55639,0.97681,0.93171,0.49247,0.67257,0.5234,0.21483,1.74608,1.08356,0.9279,0.0015644,0.0015644,0.0015644
46,47.256,1.69912,1.03363,0.96687,0.78927,0.67257,0.73677,0.3675,1.63386,0.9137,0.91174,0.0015545,0.0015545,0.0015545
47,48.1816,1.42295,0.96855,0.87485,0.73122,0.62832,0.70122,0.36907,1.49512,0.93792,0.89366,0.0015446,0.0015446,0.0015446
48,49.0883,1.51955,0.92937,0.93147,0.74107,0.68386,0.76385,0.40383,1.54111,0.94096,0.91075,0.0015347,0.0015347,0.0015347
49,50.1184,1.54769,1.00496,0.96269,0.71676,0.61062,0.69668,0.35999,1.70704,0.99957,0.91813,0.0015248,0.0015248,0.0015248
50,51.0955,1.58057,1.03915,0.96972,0.68885,0.65487,0.7311,0.34884,1.67744,0.96465,0.92511,0.0015149,0.0015149,0.0015149
51,52.074,1.54961,0.99041,0.96235,0.7447,0.67257,0.72616,0.38332,1.56882,0.87225,0.90725,0.001505,0.001505,0.001505
52,53.0598,1.48197,0.94546,0.92999,0.67808,0.65242,0.71097,0.37159,1.54643,0.88372,0.9046,0.0014951,0.0014951,0.0014951
53,53.9972,1.45047,0.9675,0.90262,0.76637,0.66372,0.73111,0.35417,1.69721,0.93099,0.90367,0.0014852,0.0014852,0.0014852
54,54.9977,1.38312,0.93087,0.88164,0.72473,0.71681,0.74019,0.39586,1.51589,0.92711,0.88998,0.0014753,0.0014753,0.0014753
55,55.9316,1.37625,0.90232,0.93114,0.69574,0.71681,0.70859,0.36533,1.53868,0.8688,0.90899,0.0014654,0.0014654,0.0014654
56,56.8989,1.4406,0.94983,0.91003,0.71212,0.72566,0.75091,0.36053,1.51153,0.89373,0.89986,0.0014555,0.0014555,0.0014555
