epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,91.2106,1.3657,0.94138,0.9167,0.79014,0.82301,0.88453,0.48662,1.38664,0.8788,0.90076,0.0015941,0.0015941,0.0015941
43,93.3072,1.42208,0.96448,0.91858,0.83117,0.79646,0.87417,0.49053,1.3437,0.88291,0.91417,0.0015842,0.0015842,0.0015842
44,95.4059,1.35767,0.95046,0.90253,0.71748,0.85841,0.86459,0.49808,1.34533,0.85419,0.90064,0.0015743,0.0015743,0.0015743
45,97.5052,1.40272,0.90387,0.92648,0.88644,0.75221,0.90606,0.51431,1.39863,0.80079,0.92553,0.0015644,0.0015644,0.0015644
46,99.6114,1.25239,0.86594,0.9116,0.73197,0.87004,0.88657,0.52112,1.32085,0.78889,0.902,0.0015545,0.0015545,0.0015545
47,101.704,1.229,0.83985,0.88753,0.82484,0.87611,0.89793,0.52089,1.32135,0.78652,0.90017,0.0015446,0.0015446,0.0015446
48,103.812,1.27973,0.87171,0.89523,0.77953,0.90745,0.91582,0.5598,1.24473,0.76552,0.8927,0.0015347,0.0015347,0.0015347
49,106.064,1.2134,0.85946,0.859,0.8084,0.89381,0.93258,0.5785,1.19813,0.73919,0.88381,0.0015248,0.0015248,0.0015248
50,108.325,1.28941,0.87984,0.90996,0.81395,0.82301,0.88257,0.53163,1.25517,0.79576,0.89002,0.0015149,0.0015149,0.0015149
51,110.422,1.33305,0.87875,0.93403,0.80541,0.80581,0.88977,0.55138,1.23206,0.78454,0.89745,0.001505,0.001505,0.001505
52,112.524,1.31746,0.87399,0.9084,0.94591,0.77385,0.92391,0.56432,1.26403,0.7728,0.89244,0.0014951,0.0014951,0.0014951
53,114.628,1.31655,0.87074,0.8933,0.8239,0.78667,0.90214,0.55118,1.26393,0.80096,0.88587,0.0014852,0.0014852,0.0014852
54,116.708,1.26415,0.86512,0.90174,0.73025,0.8864,0.89618,0.51209,1.33203,0.81902,0.88443,0.0014753,0.0014753,0.0014753
55,118.808,1.27453,0.89122,0.90233,0.81763,0.84071,0.91043,0.53593,1.28013,0.81913,0.89925,0.0014654,0.0014654,0.0014654
56,120.91,1.28406,0.87898,0.885,0.8487,0.82301,0.90487,0.53539,1.30391,0.78108,0.8851,0.0014555,0.0014555,0.0014555
57,123.023,1.22022,0.83244,0.89156,0.8704,0.83205,0.92029,0.57248,1.22336,0.75397,0.88922,0.0014456,0.0014456,0.0014456
58,125.14,1.21116,0.86774,0.89542,0.84471,0.84956,0.90393,0.5457,1.20728,0.89348,0.87581,0.0014357,0.0014357,0.0014357
59,127.266,1.21147,0.94637,0.87388,0.81894,0.88063,0.92354,0.53378,1.24443,0.79733,0.88551,0.0014258,0.0014258,0.0014258
60,129.387,1.16639,0.83005,0.89862,0.86015,0.90265,0.94375,0.52909,1.36971,0.76602,0.8947,0.0014159,0.0014159,0.0014159
61,131.474,1.25739,0.84023,0.90295,0.8256,0.84071,0.90807,0.53511,1.27315,0.76762,0.8894,0.001406,0.001406,0.001406
62,133.547,1.24037,0.82918,0.893,0.83332,0.89381,0.91405,0.55012,1.21865,0.75095,0.87384,0.0013961,0.0013961,0.0013961
63,135.643,1.27924,0.84852,0.91738,0.87706,0.85841,0.91598,0.48587,1.43633,0.79479,0.87826,0.0013862,0.0013862,0.0013862
64,137.769,1.22203,0.80805,0.88754,0.86049,0.86726,0.91235,0.57626,1.20332,0.74727,0.88187,0.0013763,0.0013763,0.0013763
65,139.882,1.26306,0.83346,0.86708,0.81265,0.9213,0.92163,0.52799,1.27084,0.75406,0.88758,0.0013664,0.0013664,0.0013664
66,141.988,1.23184,0.81598,0.90039,0.85836,0.79646,0.90458,0.55579,1.28081,0.89185,0.90531,0.0013565,0.0013565,0.0013565
67,144.091,1.23555,0.84016,0.88482,0.86359,0.8964,0.94239,0.57172,1.23923,0.73424,0.892,0.0013466,0.0013466,0.0013466
68,146.218,1.21596,0.83384,0.87223,0.84786,0.88773,0.9245,0.56607,1.25752,0.76822,0.88232,0.0013367,0.0013367,0.0013367
69,148.306,1.15489,0.79885,0.87501,0.79279,0.84646,0.88967,0.54267,1.24957,0.75688,0.88857,0.0013268,0.0013268,0.0013268
70,150.412,1.1312,0.76105,0.88041,0.85748,0.82301,0.9297,0.58431,1.19844,0.76738,0.87454,0.0013169,0.0013169,0.0013169
71,152.661,1.09555,0.75176,0.86258,0.76152,0.9292,0.90278,0.5424,1.21758,0.78597,0.86766,0.001307,0.001307,0.001307
72,154.771,1.20885,0.76163,0.88324,0.81614,0.82495,0.91052,0.52874,1.352,0.79262,0.8821,0.0012971,0.0012971,0.0012971
73,156.865,1.16975,0.73998,0.88606,0.84196,0.87611,0.9402,0.57699,1.20296,0.752,0.88017,0.0012872,0.0012872,0.0012872
74,158.963,1.24041,0.79455,0.89969,0.89597,0.85841,0.92836,0.55381,1.29301,0.75845,0.88389,0.0012773,0.0012773,0.0012773
75,161.071,1.13857,0.77216,0.88201,0.85845,0.91241,0.95293,0.57386,1.33665,0.75321,0.90058,0.0012674,0.0012674,0.0012674
76,163.214,1.19888,0.74823,0.87657,0.8387,0.87427,0.91364,0.52448,1.41193,0.80514,0.89997,0.0012575,0.0012575,0.0012575
77,165.31,1.16584,0.76838,0.87857,0.8693,0.88287,0.93325,0.57803,1.20117,0.71456,0.89284,0.0012476,0.0012476,0.0012476
78,167.402,1.13194,0.74518,0.88383,0.88527,0.81946,0.92849,0.58015,1.2594,0.77258,0.87562,0.0012377,0.0012377,0.0012377
79,169.514,1.15155,0.7451,0.89257,0.88442,0.83186,0.93361,0.55268,1.28181,0.76346,0.87493,0.0012278,0.0012278,0.0012278
80,171.62,1.13283,0.70859,0.86579,0.87268,0.84922,0.93102,0.60284,1.14045,0.72204,0.86437,0.0012179,0.0012179,0.0012179
81,173.857,1.07635,0.71028,0.86811,0.87744,0.90265,0.95956,0.61215,1.15471,0.69389,0.86048,0.001208,0.001208,0.001208
82,176.126,1.19673,0.73144,0.87097,0.86749,0.87611,0.9325,0.57698,1.2616,0.71829,0.86983,0.0011981,0.0011981,0.0011981
83,178.224,1.23103,0.74311,0.86844,0.88182,0.85841,0.93363,0.58168,1.18098,0.70818,0.87272,0.0011882,0.0011882,0.0011882
84,180.32,1.10564,0.71914,0.86599,0.87732,0.88601,0.9505,0.61819,1.12975,0.68919,0.87858,0.0011783,0.0011783,0.0011783
85,182.562,1.08912,0.68377,0.85205,0.87849,0.83186,0.93243,0.59429,1.16263,0.69791,0.87783,0.0011684,0.0011684,0.0011684
86,184.67,1.08053,0.73485,0.86965,0.90227,0.80531,0.93338,0.6033,1.15345,0.73504,0.87863,0.0011585,0.0011585,0.0011585
87,186.757,1.07417,0.69683,0.86417,0.89505,0.83019,0.92859,0.58943,1.12845,0.70445,0.86614,0.0011486,0.0011486,0.0011486
88,188.85,1.1105,0.76011,0.85995,0.81328,0.88652,0.92887,0.55313,1.25262,0.70684,0.8664,0.0011387,0.0011387,0.0011387
89,190.958,1.10318,0.73294,0.85632,0.85791,0.90832,0.94741,0.61156,1.1238,0.6828,0.86566,0.0011288,0.0011288,0.0011288
90,193.08,1.11983,0.70999,0.85979,0.83429,0.90265,0.93494,0.60951,1.1307,0.67961,0.86189,0.0011189,0.0011189,0.0011189
91,195.181,1.03515,0.68972,0.81887,0.87983,0.85841,0.94315,0.59731,1.18689,0.69694,0.86087,0.001109,0.001109,0.001109
92,197.296,1.11632,0.71407,0.86249,0.89564,0.90265,0.94317,0.60385,1.18702,0.65846,0.87316,0.0010991,0.0010991,0.0010991
93,199.375,0.99501,0.66449,0.82585,0.8351,0.89633,0.92618,0.61905,1.15971,0.66919,0.86474,0.0010892,0.0010892,0.0010892
94,201.474,1.04972,0.68284,0.84889,0.85975,0.9115,0.94601,0.60716,1.17432,0.65431,0.86863,0.0010793,0.0010793,0.0010793
95,203.579,1.06318,0.69741,0.86044,0.87261,0.90931,0.94711,0.6154,1.14208,0.61567,0.86365,0.0010694,0.0010694,0.0010694
96,205.695,0.99304,0.69985,0.84234,0.8489,0.9292,0.9478,0.62366,1.11147,0.68147,0.86929,0.0010595,0.0010595,0.0010595
